Experiment,Created,Number of Documents,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,step,Coherence,Perplexity,RANDOM_SEED,train_data_path,test_data_path,procd_text,extract_sample.fraction,extract_sample.stratify_column,feature_engineering.bow,feature_engineering.tfidf,feature_engineering.ngram,feature_engineering.bert,feature_engineering.bert_pretrained_model,clustering_bert.algorithm,clustering_bert.num_clusters,clustering_bert.eps,clustering_bert.min_samples,topic_modeling.feature,topic_modeling.algorithm,topic_modeling.cluster,topic_modeling.num_topics
laigh-sled,02:40 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.36171071464745097,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,True,12.0
tutti-tass,02:29 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.41857820316352534,-14.391042468468974,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,False,20.0
beery-lays,02:28 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4173350500196046,-13.882440570873111,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,False,18.0
fazed-wire,02:21 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4422563804612601,-13.374778723559352,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,False,16.0
guest-tell,02:20 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4332504733817464,-12.857757543306882,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,False,14.0
hated-toke,02:14 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4298223555543202,-12.961067949305278,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,True,20.0
drear-keep,02:12 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.45697846704040596,-12.31576448625774,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,False,12.0
wally-tola,02:05 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.43084867012085254,-12.638189767731104,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,True,18.0
burry-coze,02:05 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.41465690588059856,-12.325255378501696,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,True,16.0
lushy-bump,01:55 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.41992390525419604,-11.995922463272422,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,True,14.0
cased-ears,01:55 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4206000573628293,-11.64285301062763,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,lda,True,12.0
paled-dabs,01:46 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.37707639081131605,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,False,20.0
stiff-cows,01:45 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.4075720449382628,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,False,18.0
birch-yack,01:38 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.3941704553876426,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,False,16.0
based-chad,01:37 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.3843887962891886,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,False,14.0
dormy-quey,01:30 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.3819371725082499,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,False,12.0
model-gude,01:29 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.42041747017569553,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,True,20.0
hated-coal,01:21 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.42535713920469403,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,True,18.0
agley-toke,01:18 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.41652925381510925,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,True,16.0
rarer-bond,01:10 PM,32259.0,0.05833610147237778,2.759840958317131,3539.6033136076812,,0.415072727610422,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,3.0,0.2,5.0,tfidf,nmf,True,14.0
